Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Glenn J. Winuk	Firefighter	JERICHO FIRE DEPARTMENT	9/11/2001	19 Bottom
Abe Dias	Firefighter	HAVERSTRAW FIRE DEPARTMENT	1/8/1906	20 Bottom
Todd Smith	Firefighter	NEW PALTZ FIRE DEPARTMENT	2/6/2005	21 Bottom
Adam D. Rand	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
Joseph E. Piazzi	Deputy Chief	BRIARCLIFF MANOR FIRE DEPARTMENT	5/16/2007	  2 Top
Adam Fisher	Captain	BUFFALO FIRE DEPARTMENT	01/23/1891	14 Bottom
Adolph L. Wiemer	Hoseman	ROCHESTER FIRE DEPARTMENT	5/20/1939	17 Top
Charles D. Pickard	Firefighter	MARILLA FIRE DEPARTMENT	1/21/1985	12 Top
William J. Ford	Captain	BINGHAMTON FIRE DEPARTMENT	10/29/1915	   2 Top
William Ewing	Hoseman	COHOES FIRE DEPARTMENT	3/24/1930	   1 Bottom
Alan D. Feinbert	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	10 Top
Alan E. Jones	Firefighter	NEW ROCHELLE FIRE DEPARTMENT	10/8/1983	12 Top
Peter E. Hotaling	Firefighter	CLAVERACK FIRE DEPARTMENT	10/5/2005	   4 Top
Stephen E. Belson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  9 Bottom
Christopher W. Dill	Firefighter	BUFFALO FIRE DEPARTMENT	4/4/2005	   1 Bottom
Ernest Starrett	Firefighter	HUDSON FALLS FIRE DEPARTMENT	1/16/1910	21 Top
Albert F. Fischer	Firefighter	WILLISTON PARK FIRE DEPARTMENT	1/1/1982	12 Top
Peter Lund	Firefighter	WOODMERE FIRE DEPARTMENT	6/14/2005	   4 Bottom
Albert F. Schrempf	Lieutenant	SYRACUSE FIRE DEPARTMENT	1/12/1961	12 Bottom
Albert G. Young	Lieutenant	SYRACUSE FIRE DEPARTMENT	2/3/1939	17 Top
"Albert J. DeFlumere, Jr."	Ex-Chief	BLAUVELT FIRE COMPANY	10/26/1996	10 Top
Albert M. Weeks	Past Chief	SAYVILLE FIRE DEPARTMENT	6/1/1993	10 Top
Albert Mack	Firefighter	RUSH FIRE DEPARTMENT	12/29/1959	13 Top
William R. McAnally	Firefighter	OSSINING FIRE DEPARTMENT	6/22/2005	19 Top
Albert Sipple	Lieutenant	BELLMORE FIRE DEPARTMENT	7/16/1997	10 Top
John P. McConnell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/4/1908	  6 Bottom
Francis J. Hehar	Firefighter	BINGHAMTON FIRE DEPARTMENT	09/26/1898	   3 Bottom
Alexander McKay	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
Alfons Richter	Firefighter	EAST ISLIP FIRE DEPARTMENT	12/21/1947	15 Top
Alfred A. Wohrman	Firefighter/Commissioner	BEEKMAN VOLUNTEER FIRE DEPARTMENT	4/16/2005	20 Bottom
Alfred Bauman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/22/1896	14 Bottom
Jeffrey L. Wiener	Firefighter	LYNBROOK FIRE DEPARTMENT	5/7/2005	19 Bottom
Alfred E. Ronaldson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/5/1991	11 Top
Alfred F. Shoesmith	2nd Assistant Foreman	JAMESTOWN FIRE DEPARTMENT	3/16/1910	10 Bottom
James J. O’Neil	Firefighter	HEMPSTEAD FIRE DEPARTMENT	6/14/2005	21 Top
Jason D. Hasenauer	Firefighter	HILTON FIRE DEPARTMENT	12/28/2005	   2 Top
Alfred J. Hynes     	Firefighter    	OGDENSBURG FIRE DEPARTMENT        	10/25/1934	10 Bottom
Alfred M. Knecht	Captain	NEW YORK CITY FIRE DEPARTMENT	3/1/1982	12 Top
E. Timothy Parsell	Captain	COLLINS FIRE DEPARTMENT	11/4/2005	18 Bottom
"Alston F. Hill, Sr."	Firefighter	JAMISON ROAD FIRE DEPARTMENT	3/28/1991	11 Top
Andrew B. George	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/3/1939	17 Top
Andrew C. Brunn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	11 Bottom
Andrew C. Schenck	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
"Andrew Harcher, Jr."	Firefighter	WALLKILL FIRE COMPANY	2/21/1982	12 Top
Andrew J. Desperito	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	13 Bottom
Andrew K. Wright	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/4/1955	14 Top
Andrew L. Milyko	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/1/1953	14 Top
"Andrew S. Usyk, Sr."	Firefighter	SCHUYLER FIRE DEPARTMENT	3/3/1983	12 Top
"Angel C. Juarbe, Jr. "	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Bottom
Anthony A. Kaiser	Firefighter	NARROWSBURG FIRE DEPARTMENT	3/17/2007	19 Bottom
Anthony Capozzi	Firefighter	HY-VIEW FIRE DEPARTMENT	1/7/1987	11 Top
Anthony Carracciolo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/08/1855	18 Bottom
Anthony Ceravolo	Firefighter	WARWICK FIRE DEPARTMENT	1/1/1994	10 Top
Anthony F. Eisele	Chief	ROOSEVELT FIRE DEPARTMENT	6/16/1957	15 Top
Anthony Galatifore	Ex-Chief	SELDEN FIRE DEPARTMENT	9/3/1979	10 Bottom
Anthony J. LeoGrande	Firefighter	ONEONTA FIRE DEPARTMENT	9/8/1982	12 Top
Anthony J. Waskielewicz	Firefighter	BUFFALO FIRE DEPARTMENT	12/27/1983	12 Top
Anthony Jireck	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	1/27/1945	15 Top
Anthony M. Jovic	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Anthony P. Longa	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/31/1957	13 Top
Anthony R. Martucci	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	3/9/1961	12 Bottom
Anthony Sands	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/20/1984	12 Top
Antonio C. Rodriques 	Firefighter 	YONKERS FIRE DEPARTMENT 	7/31/2012	14 Top
Antonio J. Assante	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/31/1952	14 Top
Armand Santacroce	Firefighter	NEWBURGH FIRE DEPARTMENT	2/23/1952	14 Top
Arnold N. Hafner	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/31/1955	14 Top
Arthur A. Poole	Firefighter	BUFFALO FIRE DEPARTMENT	07/10/1878	20 Top
Arthur C. Smith	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/5/1951	14 Top
"Arthur Cassell, Jr."	Firefighter	NEWTON FALLS FIRE DEPARTMENT	11/5/1983	12 Top
Arthur E. Sink 	Firefighter 	LAURELTON FIRE DEPARTMENT 	8/27/1952	20 Bottom
Arthur G. Hanson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/4/1956	13 Top
Arthur J. Dillon	Chief	BINGHAMTON FIRE DEPARTMENT	3/7/1946	10 Bottom
Arthur J. Evans	Firefighter	NEW YORK CITY FIRE DEPARTMENT	09/25/1852	18 Bottom
Arthur K. Tuck	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/9/1993	10 Top
"Arthur Kuss, Jr."	Firefighter	ISLAND PARK FIRE DEPARTMENT	11/3/1962	11 Top
Arvid Wallin	Firefighter	BEUKENDAAL FIRE DEPARTMENT	2/25/1956	18 Top
Asa F. Barnes	Firefighter	OSSINING FIRE DEPARTMENT	2/3/1957	13 Top
August L. Cowdrey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	07/19/1845	19 Bottom
Augustine Halley	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	5/18/1956	13 Top
Barend Geel	Battalion Chief	ALBANY FIRE DEPARTMENT	2/9/1946	15 Top
Barry Brown	Captain	NEW YORK CITY FIRE DEPARTMENT	7/22/1982	12 Top
Bartholomew V. Foley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/19/1965	11 Bottom
Benjamin Nelson	Firefighter	HAVERSTRAW FIRE DEPARTMENT	1/8/1906	16 Top
Benjamin Parcell	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/28/1941	17 Top
Bernard A. Tepper	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
Bernard Bamer	Hoseman	ALBANY FIRE DEPARTMENT	12/19/1892	14 Bottom
Bernard Blumenthal	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/14/1958	13 Top
Bernard D. Scannell	Firefighter/Fire Police	WATERLOO FIRE DEPARTMENT	9/21/2000	19 Bottom
Bernard Delmar	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/6/1951	14 Top
Bernard E. Meany	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/19/1952	14 Top
Bernard Goldman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/30/1962	12 Bottom
"Bernard J. Callahan, Jr."	Firefighter	WHITE PLAINS FIRE DEPARTMENT	7/31/1954	14 Top
Bernard J. Spillman	Lieutenant	ROCHESTER FIRE DEPARTMENT	9/12/1986	11 Top
"Bernard McGuire, Jr."	Firefighter	BRIGHTON FIRE DEPARTMENT	1/1/1947	15 Top
Bernard P. McGreavy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/15/1944	16 Top
Bernard Tully	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/17/1957	13 Top
Bertram Butler	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/17/1941	17 Top
Beverly H. Pratt	Firefighter	PORT HENRY FIRE DEPARTMENT	5/17/1956	21 Bottom
Bradley P. Golden	Firefighter	LAIRDSVILLE FIRE DEPARTMENT	9/25/2001	15 Top
"Brian D. Myers, Sr."	Firefighter	SCHUYLERVILLE FIRE DEPARTMENT	1/1/1997	10 Top
Brian E. Bilcher	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	11 Bottom
Brian G. Ahearn	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	14 Bottom
Brian T. Dillon	Firefighter	BUFFALO FIRE DEPARTMENT	1/28/1991	11 Top
Bruce A. Rhinehart	Lieutenant	JAMESTOWN FIRE DEPARTMENT	10/27/1990	11 Top
Bruce B. Baldwin	Firefighter	ALBION FIRE DEPARTMENT	11/6/1974	20 Bottom
"C. Clifford Preisigke, III"	Firefighter	BUFFALO FIRE DEPARTMENT	4/13/1985	12 Top
Carl Aschenbrenner	Chief	BUCHANAN FIRE DEPARTMENT	1/1/1961	13 Top
Carl H. Bischoff	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/5/1941	17 Top
Carl Lee	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
Carmen Russo	Firefighter	ROCHESTER FIRE DEPARTMENT	3/10/1987	11 Top
Ceasar J. Macari	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/24/1939	17 Top
Charles A. Cook	Firefighter	TROY FIRE DEPARTMENT	7/27/1900	13 Bottom
Charles A. Dunbar	Firefighter	ROCHESTER FIRE DEPARTMENT	2/6/1949	15 Top
Charles A. Hickey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/22/1945	16 Top
"Charles A. Stenvall, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/16/1940	17 Top
Charles A. Widdowson	Captain	ROCHESTER FIRE DEPARTMENT	4/29/1932	20 Top
Charles B. Elliott	Firefighter	NEW YORK CITY FIRE DEPARTMENT	09/08/1855	18 Bottom
Charles B. Osborn	Firefighter	VALATIE FIRE DEPARTMENT	06/01/1860	17 Bottom
Charles Boynton	1st Assistant Chief	SYRACUSE FIRE DEPARTMENT	2/6/1939	17 Top
Charles Brady	Firefighter	ALBANY FIRE DEPARTMENT	3/7/1953	14 Top
Charles Conklin	Ex-Captain	SEA CLIFF FIRE DEPARTMENT	1/23/1959	14 Top
Charles D. Bangel	Firefighter	PATCHOGUE FIRE DEPARTMENT	7/21/1934	19 Top
Charles E. Bentley	Firefighter	ELMIRA FIRE DEPARTMENT	01/01/1888	15 Bottom
"Charles E. H. Lauber, Jr."	Commissioner	SMITHTOWN FIRE DEPARTMENT	12/24/2000	14 Bottom
Charles E. Marshall	Foreman	ALBANY FIRE DEPARTMENT	12/19/1892	14 Bottom
Charles Elliott	Firefighter	BRENTWOOD FIRE DEPARTMENT	5/11/1952	14 Top
Charles F. Daley	Firefighter	OSWEGO FIRE DEPARTMENT	8/26/1944	10 Bottom
Charles F. Hale	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/12/1962	12 Bottom
Charles F. Moody	Firefighter	ONEIDA FIRE DEPARTMENT	8/8/1959	13 Top
Charles G. Lang	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/22/1961	12 Bottom
Charles G. Rappe	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/18/1932	20 Top
Charles H. Beadle	Captain	WALTON FIRE DEPARTMENT	11/20/1993	10 Top
Charles H. Vandecar    	Firefighter    	TROY FIRE DEPARTMENT   	8/30/1922	21 Bottom
Charles J. Boll	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/20/1959	13 Top
Charles J. Connolly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	03/14/1878	16 Bottom
Charles J. Franck	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	4/14/1965	11 Bottom
Charles J. Ginter	Firefighter	ONEIDA FIRE DEPARTMENT	8/30/1941	17 Top
Charles J. Infosino	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/4/1956	13 Top
Charles Keagan	Captain	NEW YORK CITY FIRE DEPARTMENT	09/15/1884	15 Bottom
Charles Kohlenberger	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	3/31/1945	16 Top
Charles McHugh	Firefighter	NEW YORK CITY FIRE DEPARTMENT	08/08/1889	15 Bottom
Charles Mooney	Firefighter	BUFFALO FIRE DEPARTMENT	5/15/1950	15 Top
Charles Palmore	Firefighter	NIAGARA FALLS FIRE DEPARTMENT	2/1/1982	12 Top
Charles R. Haas	Firefighter	HIGH FALLS FIRE DEPARTMENT	2/17/1981	12 Top
Charles R. Will	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/18/1939	17 Top
Charles S. Morris	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/03/1890	14 Bottom
Charles S. Vancleve	Battalion Chief	BINGHAMTON FIRE DEPARTMENT	1/16/1929	10 Bottom
Charles Schoener	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/7/1936	18 Top
Charles Snyder	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/4/1919	14 Bottom
Charles V. Wallace 	Firefighter 	MONTGOMERY FIRE DEPARTMENT 	2/3/2015	14 Bottom
Charles W. Abrams	Firefighter	NEW YORK CITY FIRE DEPARTMENT	06/22/1820	21 Bottom
Charles W. McCarthy 	Lieutenant 	BUFFALO FIRE DEPARTMENT 	8/24/2009	20 Bottom
Charles Walker	Firefighter	COHOES FIRE DEPARTMENT	03/29/1877	10 Bottom
Charles Wilson	Driver	BUFFALO FIRE DEPARTMENT	02/09/1891	14 Bottom
"Charles Wilson, III"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/19/1959	13 Top
"Chester A. Long, Jr."	Past Chief	KENMORE FIRE DEPARTMENT	4/9/1959	13 Top
Chris E. A. McAuley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/12/1949	15 Top
Chris J. Plunkett	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/3/1938	18 Top
Christian M. O. Regenhard	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Top
Christian P. Engeldrum	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/29/2004	17 Top
Christopher A. Bilger	Firefighter	NORTH SYRACUSE FIRE DEPARTMENT	9/21/1987	11 Top
Christopher A. Santora	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
Christopher Boines	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/21/1901	13 Bottom
Christopher Fralick	Firefighter	SYRACUSE FIRE DEPARTMENT	02/02/1885	15 Bottom
Christopher J. Blackwell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
Christopher J. Siedenburg	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/29/1994	10 Top
Christopher Kent	Firefighter	HOWARD FIRE DEPARTMENT	1/12/1994	10 Top
Christopher M. Bopp	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/18/1998	10 Top
Christopher M. Mozzillo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Christopher P. Savage	Lieutenant	SIR WILLIAM JOHNSON FIRE DEPARTMENT	2/27/1993	10 Top
Christopher P. Sullivan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
Christopher W. Harmon	Lieutenant	WHITE PLAINS FIRE DEPARTMENT	5/30/1962	12 Bottom
Clarence S. LaMora	Firefighter	WATERTOWN FIRE DEPARTMENT	7/4/1950	10 Bottom
Clark S. Segmann	Firefighter	TROY FIRE DEPARTMENT	01/10/1835	20 Bottom
Claude Gowdy	Firefighter	WILLING FIRE DEPARTMENT	7/7/1985	12 Top
Clifford B. Fuerst	Firefighter	ALBANY FIRE DEPARTMENT	7/2/1961	12 Bottom
Clyde W. Miller	Firefighter	SIDNEY FIRE DEPARTMENT	6/24/1988	11 Top
Colin Fell	Captain	HASTINGS ON THE HUDSON FIRE DEPARTMENT	3/1/1989	11 Top
Cornelius Garrison	Firefighter	NEW YORK CITY FIRE DEPARTMENT	07/05/1832	20 Bottom
Cornelius Healy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/2/1935	19 Top
Cornelius Shea	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/10/1980	10 Bottom
Curtis W. Meyran	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/23/2005	21 Top
Dale A. Monica	Firefighter	BURKE VOLUNTEER FIRE DEPARTMENT	4/16/2005	21 Top
Dale E. Linkroum	Firefighter	DEPOSIT FIRE DEPARTMENT	12/6/1993	10 Top
Dale M. Seib	Firefighter	PLAINVILLE FIRE DEPARTMENT	2/26/1990	11 Top
Dale Steel	Firefighter	MECHANICVILLE FIRE DEPARTMENT	1/26/1981	12 Top
Dana R. Hannon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Top
Daniel A. Dunphy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/26/1955	14 Top
Daniel A. Weisse	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/14/1953	14 Top
Daniel Bermingham	Captain	ELMIRA FIRE DEPARTMENT	1/11/1939	17 Top
Daniel E. Harlin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	12 Bottom
Daniel F. Libretti	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Top
Daniel J. Brethel	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
Daniel J. Miller	Past Chief	GETZVILLE FIRE DEPARTMENT	12/8/1991	11 Top
Daniel L. Rey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
Daniel M. Krauss	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/30/1946	15 Top
Daniel McKay	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
"Daniel Murphy, I"	Captain	NEW YORK CITY FIRE DEPARTMENT	2/20/1941	17 Top
Daniel R. Joslyn	Chief   	MAPLE SPRING FIRE DEPARTMENT	6/1/1990	11 Top
Daniel Shanahan	Driver	BUFFALO FIRE DEPARTMENT	07/20/1890	15 Bottom
Daniel Strong	Firefighter	FRANKLIN SQUARE & MUNSON FIRE DEPARTMENT	2/25/1989	11 Top
Daniel Sullivan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/1954	14 Top
Daniel T. Rice	Captain	NEW YORK CITY FIRE DEPARTMENT	11/11/1956	13 Top
Daniel W. McCarthy	Firefighter	IRVINGTON FIRE DEPARTMENT	2/16/1941	10 Bottom
Daniel W. Mumford	Firefighter	WEST HAVERSTRAW FIRE DEPARTMENT	5/9/1998	10 Top
Daniel Wheeler	Hoseman	ALBANY FIRE DEPARTMENT	07/12/1885	15 Bottom
David Clute	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/08/1876	14 Bottom
"David D. Duncan, Jr."	Lieutenant	ALBANY FIRE DEPARTMENT	5/24/1985	12 Top
David E. Smith 	Captain 	HOWELLS FIRE COMPANY #1 	4/11/2006	18 Bottom
David F. Murray	Firefighter	HURLEYVILLE FIRE DEPARTMENT	12/21/1984	12 Top
David G. Arce	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	14 Bottom
"David Halderman, Jr. "	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
David J. Clapp	Firefighter	WEST WEBSTER FIRE DEPARTMENT	9/29/1986	11 Top
David J. Fontana	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Bottom
David J. LaForge	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
David L. Blakely	Firefighter	TROY FIRE DEPARTMENT	05/03/1868	17 Bottom
David L. Kline	Firefighter	WARSAW FIRE DEPARTMENT	1/1/1992	11 Top
David Lavine	Lieutenant	SYRACUSE FIRE DEPARTMENT	2/3/1939	17 Top
David M. Weiss	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
David McBride	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/17/1882	15 Bottom
David Muldrew	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/08/1876	16 Bottom
David P. DeRubbio	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Bottom
David P. Janora	Assistant Chief	CLARENCE CTR FIRE DEPARTMENT	1/2/1997	10 Top
David T. Wooley	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Bottom
David W. Raymer	Firefighter	NEW YORK CITY FIRE DEPARTMENT	03/08/1827	21 Bottom
David Ward	Firefighter	SAG HARBOR FIRE DEPARTMENT	5/28/1988	11 Top
David Waters	Captain	NEW YORK CITY FIRE DEPARTMENT	05/21/1866	17 Bottom
Denis J. Corrodan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/10/1952	14 Top
Denis P. Germain	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Bottom
Dennis A. Cross	Deputy Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	13 Bottom
"Dennis J. Mullins, Jr."	Firefighter	MOUNT VERNON FIRE DEPARTMENT	1/18/1995	10 Top
Dennis L. Devline	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Bottom
Dennis M. Carey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
Dennis M. Peterson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/19/1981	12 Top
Dennis McGee	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/20/1886	15 Bottom
Dennis McQueenie	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/29/1960	13 Top
Dennis Mojica	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	10 Bottom
Dennis P. McHugh	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Top
Dennis Rodd	Firefighter	CORAM FIRE DEPARTMENT	3/13/1993	10 Top
"Dominic A. LaGudi, Jr."	2nd Assistant Chief	OCEANSIDE FIRE DEPARTMENT	4/14/1989	11 Top
Dominic Villano	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/22/1966	11 Bottom
Dominick Sicot	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/14/1865	17 Bottom
Donald A. Collins	Firefighter	SCHENECTADY FIRE DEPARTMENT	4/19/1996	10 Top
Donald Bradway	Firefighter	MEXICO FIRE DEPARTMENT	5/27/1964	11 Bottom
Donald Hilton	Firefighter	MELLENVILLE VOLUNTEER FIRE COMPANY	4/27/1989	11 Top
Donald J. Gagnier	Firefighter	BEEKMANTOWN FIRE DEPARTMENT	4/28/1965	12 Bottom
Donald J. Smith	Firefighter	EAST AURORA FIRE DEPARTMENT	7/1/1989	11 Top
Donald K. Bishop	Protective	ALBANY FIRE DEPARTMENT	7/25/1902	13 Bottom
Donald M. Hodgkinson	Past Chief	SAYVILLE FIRE DEPARTMENT	7/4/1989	11 Top
Donald R. Bogash	Firefighter	RIVERHEAD FIRE DEPARTMENT	6/27/1983	21 Top
Donald R. Conklin	Firefighter	CHENANGO FIRE DEPARTMENT	12/3/1982	12 Top
Donald R. Henry	Firefighter	COPENHAGEN FIRE DEPARTMENT	8/2/1988	11 Top
"Donald W. Ambler, Sr."	Firefighter	MOHEGAN LAKE FIRE DEPARTMENT	3/24/1955	14 Top
Duane F. Ahl	Captain	ROTTERDAM FIRE DEPARTMENT	1/18/1988	11 Top
"Dwight G. Burger, Jr."	Firefighter	SOUTH DANSVILLE FIRE DEPARTMENT	12/6/1994	10 Top
Earl E. Pritchard	Past Chief	BRIDGEWATER FIRE DEPARTMENT	10/9/1973	18 Top
"Earl Garrity, III"	Firefighter	PORT JERVIS FIRE DEPARTMENT	10/4/1987	11 Top
Edgar H. Scott	Fire Police Captain	VILLAGE OF MENANDS FIRE DEPARTMENT	4/3/2007	20 Top
Edmond Smith	Firefighter	SEA CLIFT FIRE DEPARTMENT	7/18/1929	12 Bottom
Edmund A. Chrosniak	Firefighter	BUFFALO FIRE DEPARTMENT	9/26/1983	12 Top
Edward Burke	Firefighter	NEW YORK CITY FIRE DEPARTMENT	06/22/1872	16 Bottom
Edward C. Huber	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	7/27/1954	14 Top
Edward C. McCulley	Captain	ONEIDA FIRE DEPARTMENT	9/26/1963	11 Bottom
Edward Erbland	Past Chief	RIDGE-CULVER FIRE DEPARTMENT	5/5/1981	12 Top
Edward F. Dunn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/03/1894	14 Bottom
Edward F. Keating	Firefighter	PATCHOGUE FIRE DEPARTMENT	4/11/1950	14 Top
Edward F. Snediker	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/27/1965	11 Bottom
Edward Hawkes	Firefighter	BUFFALO FIRE DEPARTMENT	4/11/1944	16 Top
Edward J. Brickner	Firefighter	CRANESVILLE FIRE DEPARTMENT	2/5/1964	19 Top
Edward J. Campbell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/16/1959	13 Top
Edward J. Carroll	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/4/1956	13 Top
Edward J. Curtin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/17/1954	14 Top
Edward J. Duggan	Captain	BUFFALO FIRE DEPARTMENT	12/23/1986	12 Top
Edward J. Klimas	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/30/1942	17 Top
"Edward J. Matter, Jr."	Firefighter	WESTFORD FIRE DEPARTMENT	3/8/1998	10 Top
Edward J. Nelson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/26/1944	16 Top
Edward Johnson	Firefighter	FREEPORT FIRE DEPARTMENT	12/31/1959	14 Top
Edward L. Simpson	Firefighter	MELLENVILLE VOLUNTEER FIRE COMPANY	7/14/1990	11 Top
