Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Thomas P. McEvoy	Firefighter	NEWPORT FIRE DEPARTMENT	2/24/1980	  8 Bottom
Kevin Landau	Firefighter	NEW CITY FIRE ENGINE COMPANY NO. 1	1/1/1975	  8 Top
William N. Tolley	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	4/20/2017	21 Bottom
Herman G. Berny	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/10/1972	  7 Top
Henry P. O’Bryan	Firefighter	TROY FIRE DEPARTMENT	4/29/1913	  4 Bottom
William Leichsenring	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/18/1924	  5 Top
Peter J. Carroll	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3  Top
John F. Cox	Chief	BINGHAMTON FIRE DEPARTMENT	9/29/1975	  8 Top
James Sellick	Firefighter	PEEKSKILL FIRE DEPARTMENT	8/1/1918	  2 Top
"James J. Skelly, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/16/1916	  3 Top
Charles J. Tozzo	Captain	COLD SPRING HARBOR FIRE DEPARTMENT	10/28/2003	  2 Bottom
Joseph McDonough	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/30/1919	  1 Top
Christopher Dressel	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/31/1904	  3 Bottom
Albert E. Donovan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	8/21/1923	  6 Top
Randolph A. Ervin	Firefighter	GATES-CHILI FIRE DEPARTMENT	11/2/1964	  9 Top
Bret E. Neff	Assistant Chief	HARFORD FIRE COMPANY	2/23/2004	  2 Top
John E. Rauch	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/30/1928	  5 Top
George C. Strauss	Captain	NEW YORK CITY FIRE DEPARTMENT	2/26/1928	  4 Top
"Myron Hickok, Sr."	Firefighter	FAYETTEVILLE FIRE DEPARTMENT	2/11/1959	  7 Bottom
"Robert G. Brooks, Sr."	Firefighter	MONTGOMERY VOLUNTEER FIRE DEPARTMENT	3/28/2005	   1 Top
Frank J. Brennan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/6/1973	  8 Bottom
